site_index,English_Quote,Persian_Quote,Prise_Writer
22,One of Faulkner’s comic masterpieces.,از شاهکارهای کمیک فاکنر,barnes and noble
60,Convincing and compelling.,باورپذیر و مهیج.,School Library Journal
60,"A highly imaginative, absolutely terrific first novel.",یک رمان نخست فوق العاده خیال پردازانه و شگرف.,Barnes & Noble
60,"An exciting, clever read.",داستانی هیجان انگیز و هوشمندانه.,Booktopia
101,This stunning work showcases Krauss's consistent talent.,این اثر خیره کننده، نشان دهنده ی استعداد همیشگی «کراوس» است.,Publishers Weekly
101,"Masterful, evocative and moving.",استادانه، احساس برانگیز و تکان دهنده.,NPR
101,A meditation on memory and loss.,تأملی بر خاطره و فقدان.,Los Angeles Times
102,An engrossing forecast.,یک پیش بینی هیجان انگیز.,Publishers Weekly
102,"Original, accessible, and provocative.",بدیع، قابل فهم و برانگیزاننده.,Science
102,"A compelling guide to the challenges and choices in our quest for a future of life, intelligence and consciousness—on Earth and beyond.",راهنمایی جذاب برای چالش ها و انتخاب های پیش روی ما در تلاش برای رسیدن به آینده ی زندگی، هوش و آگاهی-روی زمین و ورای آن.,Elon Musk
118,An interesting and ambitious book.,کتابی جذاب و بلندپروازانه.,The New York Times Book Review
118,It gives you the insight to recognise the underlying motivations behind your actions and better understand your own psychology.,این اثر، خرد لازم برای درک انگیزه های نهفته در پشت کارهایتان و درک بهتر روانشناسی خودتان را به شما می دهد.,Penguin
137,"Brilliantly impassioned, and accessible.",به شکل درخشانی پرشور و قابل فهم.,Goodreads
137,A must-read for anyone looking to achieve their personal best.,اثری ضروری برای هر کسی که به دنبال دستیابی به بهترین نوع از شخصیت خود است.,People
137,"Filled with stories about achieving greater mindfulness, successfully coping with stress, and being present to immediate moments.",سرشار از داستان هایی درباره ی دستیابی به ذهن آگاهی برتر، مواجهه ی موفقیت آمیز با اضطراب و حضور داشتن در لحضه های کنونی.,
148,"“This novel is bursting with conspiracy and subterfuge and a raw exposition of the ugliness that can inhabit the human soul. Like detectives Pia Kirchhoff and Oliver von Bodenstein, readers won't stop until the shocking ending is finally revealed.",این رمان با توطئه و فرومایگی و نمایش زشتی که می تواند در روح انسان وجود داسته باشد ، در ارتباط است. مانند کارآگاهان پیا کیرخوف و الیور فون بدنشتاین ، شما تا زمانی ماجرا فاش نشود نمیتوانید کتاب را زمین بگذارید.,USA Today
148,Snow White Must Die... has been a bestseller in Europe. It's easy to see why. Nele Neuhaus has a flair for the ominous and the ornate.,"کتاب ""سفید برفی باید بمیرد"" از کتاب های پرفروش در اروپا بوده است. به راحتی می توان فهمید که چرا.نله نویهاوس در آراستن واژگان استعداد فراوانی دارد.",The Washington Post
148,"It keep readers turning the pages up to the unpredictable ending...an addictively engaging mystery filled with suspects, confusion, love, and fear. Sure to intrigue and satisfy mystery fans, especially those who love international crime procedurals",این کتاب خواننده را در وضعیتی غیر قابل پیشبینی قرار میدهد. یک موضوع اعتیاد آور و جذاب پر از مظنونین ، گیجی ، عشق و ترس. مطمئنا برای علاقمندان به رمان جنایی بسیار جذاب خواهد بود.,Library Journal
186,"[A] lovely, lilting meditation on memory and loss in mid-20th century Paris . . . [a] resonant novel.",تأملی دوست داشتنی و خوش آهنگ بر خاطرات و فقدان در میانه قرن بیستم در پاریس ... رمانی پرطنین.,"Nathan Goldman, Literary Hub"
186,A dream-like detective tale set in Paris . . . [A] darkly evocative novel of one man's troubling past.,یک داستان پلیسی رویاگونه در پاریس ... رمانی تاریک از گذشته هراسناک یک مرد.,"Michael Autrey, Booklist"
191,Plotted with verve and written with passion.,با داستانی سرزنده و نگارشی پرشور.,Kirkus Reviews
191,Magnificent.,باشکوه.,Guardian
191,"A lively, gripping book.",کتابی پرنشاط و هیجان انگیز.,Independent
